msg_id,timestamp,app_protocol,message,src_port,dst_port
113523,245.693168,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64409,8008
113524,245.693273,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64410,8008
113525,245.693353,HTTP,GET /dd.xml HTTP/1.1 ,64416,55710
113526,245.693426,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64405,8008
113528,245.693913,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64414,8008
113620,245.712392,HTTP,GET /dd.xml HTTP/1.1 ,64411,41868
113623,245.713932,HTTP/XML,HTTP/1.1 200 OK ,55710,64416
113629,245.717944,HTTP/XML,HTTP/1.1 200 OK ,8008,64405
113630,245.717944,HTTP/XML,HTTP/1.1 200 OK ,8008,64409
113632,245.717944,HTTP/XML,HTTP/1.1 200 OK ,41868,64411
113634,245.717944,HTTP/XML,HTTP/1.1 200 OK ,8008,64414
113644,245.737452,HTTP/XML,HTTP/1.1 200 OK ,8008,64410
113847,245.945647,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64418,8008
114984,247.699323,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64733,8008
114986,247.699502,HTTP,GET /dd.xml HTTP/1.1 ,64736,41868
114987,247.699622,HTTP,GET /dd.xml HTTP/1.1 ,64738,55710
114992,247.700484,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64735,8008
114993,247.700646,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64734,8008
115005,247.702975,HTTP,GET / HTTP/1.1 ,64739,1332
115006,247.703052,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64737,8008
115008,247.705506,HTTP/XML,HTTP/1.1 200 OK ,55710,64738
115011,247.705506,HTTP/XML,HTTP/1.1 200 OK ,8008,64734
115012,247.705506,HTTP/XML,HTTP/1.1 200 OK ,8008,64735
115018,247.706791,HTTP/XML,HTTP/1.1 200 OK ,8008,64733
115021,247.708824,HTTP/XML,HTTP/1.1 200 OK ,41868,64736
115025,247.708824,HTTP/XML,HTTP/1.1 200 OK ,1332,64739
115031,247.718953,HTTP/XML,HTTP/1.1 200 OK ,8008,64737
115617,248.912846,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64733,8008
115619,248.913821,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64735,8008
115620,248.914487,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64734,8008
115623,248.915673,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,64737,8008
115625,248.916492,HTTP,GET / HTTP/1.1 ,64739,1332
115633,248.934772,HTTP,GET /dd.xml HTTP/1.1 ,63337,55710
115635,248.93484,HTTP/XML,HTTP/1.1 200 OK ,8008,64733
115637,248.935111,HTTP,GET /dd.xml HTTP/1.1 ,63341,41868
115640,248.936773,HTTP/XML,HTTP/1.1 200 OK ,8008,64735
115641,248.936773,HTTP/XML,HTTP/1.1 200 OK ,8008,64734
115647,248.940225,HTTP/XML,HTTP/1.1 200 OK ,55710,63337
115649,248.940225,HTTP/XML,HTTP/1.1 200 OK ,41868,63341
115652,248.940225,HTTP/XML,HTTP/1.1 200 OK ,1332,64739
115653,248.940225,HTTP/XML,HTTP/1.1 200 OK ,8008,64737
116336,250.320541,HTTP,GET /204 HTTP/1.1 ,63343,80
116374,250.417824,HTTP,HTTP/1.1 204 No Content ,80,63343
117038,251.981469,HTTP,GET /ssdp/device-desc.xml HTTP/1.1 ,63334,8008
122658,264.479119,HTTP,GET /connecttest.txt HTTP/1.1 ,59258,80
122659,264.479123,HTTP,GET /connecttest.txt HTTP/1.1 ,59257,80
122721,264.564336,HTTP,HTTP/1.1 200 OK  (text/plain),80,59257
122724,264.564336,HTTP,HTTP/1.1 200 OK  (text/plain),80,59258
